,loyalty_number,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed
54310,186593,2017,4,3,3930,3930.0,0,0
54311,188006,2017,4,3,3972,3972.0,0,0
54312,188893,2017,4,3,6591,6591.0,0,0
54313,189139,2017,4,3,2217,2217.0,0,0
54314,214123,2017,2,3,3687,3687.0,0,0
54315,189197,2017,4,3,6369,6369.0,0,0
54316,189611,2017,4,3,6630,6630.0,0,0
54317,190052,2017,4,3,6360,6360.0,0,0
54318,190720,2017,4,3,2202,2202.0,0,0
54319,191065,2017,4,3,7272,7272.0,0,0
54320,191638,2017,4,3,7242,7242.0,0,0
54321,192543,2017,4,3,2406,2406.0,0,0
54322,193917,2017,4,3,6012,6012.0,0,0
54323,216109,2017,7,3,2766,2766.0,592,107
54324,194493,2017,4,3,4752,4752.0,0,0
54325,194709,2017,4,3,2832,2832.0,0,0
54326,990918,2018,7,3,3318,3318.0,592,107
54327,196583,2017,4,3,5373,5373.0,0,0
54328,196779,2017,4,3,6525,6525.0,0,0
54329,197578,2017,4,3,5382,5382.0,0,0
54330,198123,2017,4,3,5418,5418.0,0,0
54331,198499,2017,4,3,4251,4251.0,0,0
54332,126490,2017,11,3,7377,7377.0,337,61
54333,965674,2018,11,3,5454,5454.0,337,61
54334,198713,2017,4,3,7149,7149.0,0,0
54335,199342,2017,4,3,6405,6405.0,0,0
54336,716548,2018,9,3,3897,3897.0,370,67
54337,200065,2017,4,3,4863,4863.0,0,0
54338,200309,2017,4,3,4296,4296.0,0,0
54339,200877,2017,4,3,5028,5028.0,0,0
54340,200991,2017,4,3,3195,3195.0,0,0
54341,201339,2017,4,3,5199,5199.0,0,0
54342,201343,2017,4,3,6855,6855.0,0,0
54343,201355,2017,4,3,4707,4707.0,0,0
54344,431640,2017,12,3,3789,3789.0,421,76
54345,202299,2017,4,3,2574,2574.0,0,0
54346,202696,2017,4,3,4668,4668.0,0,0
54347,202864,2017,4,3,2814,2814.0,0,0
54348,894478,2017,4,3,6318,6318.0,349,63
54349,203293,2017,4,3,2553,2553.0,0,0
54350,204343,2017,4,3,5832,5832.0,0,0
54351,205087,2017,4,3,4575,4575.0,0,0
54352,205785,2017,4,3,4434,4434.0,0,0
54353,206871,2017,4,3,6045,6045.0,0,0
54354,206890,2017,4,3,3399,3399.0,0,0
54355,206925,2017,4,3,2661,2661.0,0,0
54356,209102,2017,4,3,6792,6792.0,0,0
54357,209405,2017,4,3,1887,1887.0,0,0
54358,210416,2017,4,3,2814,2814.0,0,0
54359,210734,2017,4,3,7188,7188.0,0,0
54360,212130,2017,4,3,3399,3399.0,0,0
54361,212604,2017,4,3,2841,2841.0,0,0
54362,967502,2018,7,3,3318,3318.0,528,95
54363,213813,2017,4,3,5127,5127.0,0,0
54364,213841,2017,4,3,2304,2304.0,0,0
54365,215257,2017,4,3,3735,3735.0,0,0
54366,216109,2017,4,3,6720,6720.0,0,0
54367,216139,2017,4,3,5037,5037.0,0,0
54368,942779,2018,5,3,5097,5097.0,477,86
54369,216719,2017,4,3,3021,3021.0,0,0
54370,216946,2017,4,3,4866,4866.0,0,0
54371,142715,2017,12,3,1719,1719.0,509,92
54372,217862,2017,4,3,1881,1881.0,0,0
54373,219714,2017,4,3,2934,2934.0,0,0
54374,660554,2018,8,3,2265,2265.0,535,96
54375,219779,2017,4,3,2943,2943.0,0,0
54376,220564,2017,4,3,2835,2835.0,0,0
54377,221287,2017,4,3,2430,2430.0,0,0
54378,221388,2017,4,3,3204,3204.0,0,0
54379,221643,2017,4,3,4254,4254.0,0,0
54380,223632,2017,4,3,2646,2646.0,0,0
54381,224664,2017,4,3,1752,1752.0,0,0
54382,224924,2017,4,3,2175,2175.0,0,0
54383,225077,2017,4,3,1818,1818.0,0,0
54384,225262,2017,4,3,2508,2508.0,0,0
54385,225486,2017,4,3,6768,6768.0,0,0
54386,225920,2017,4,3,1722,1722.0,0,0
54387,226360,2017,4,3,3687,3687.0,0,0
54388,226842,2017,4,3,5214,5214.0,0,0
54389,228673,2017,4,3,3963,3963.0,0,0
54390,229612,2017,4,3,6726,6726.0,0,0
54391,229677,2017,4,3,5370,5370.0,0,0
54392,230429,2017,4,3,4671,4671.0,0,0
54393,230763,2017,4,3,1986,1986.0,0,0
54394,231273,2017,4,3,7440,7440.0,0,0
54395,231530,2017,4,3,6330,6330.0,0,0
54396,233084,2017,4,3,4827,4827.0,0,0
54397,233991,2017,4,3,4866,4866.0,0,0
54398,234588,2017,4,3,4227,4227.0,0,0
54399,235428,2017,4,3,1899,1899.0,0,0
54400,217401,2017,10,3,1914,1914.0,0,0
54401,386926,2017,3,3,4497,4497.0,379,68
54402,236003,2017,4,3,2544,2544.0,0,0
54403,237094,2017,4,3,6840,6840.0,0,0
54404,237434,2017,4,3,6750,6750.0,0,0
54405,939992,2017,12,3,6144,6144.0,404,73
54406,238607,2017,4,3,2706,2706.0,0,0
54407,238752,2017,4,3,4554,4554.0,0,0
54408,238814,2017,4,3,4923,4923.0,0,0
54409,240476,2017,4,3,2319,2319.0,0,0
54410,240942,2017,4,3,4248,4248.0,0,0
54411,241038,2017,4,3,2814,2814.0,0,0
54412,242288,2017,4,3,6132,6132.0,0,0
54413,242779,2017,4,3,4143,4143.0,0,0
54414,243005,2017,4,3,3903,3903.0,0,0
54415,244611,2017,4,3,4554,4554.0,0,0
54416,245356,2017,4,3,5736,5736.0,0,0
54417,245929,2017,4,3,6849,6849.0,0,0
54418,246405,2017,4,3,4500,4500.0,0,0
54419,246571,2017,4,3,4215,4215.0,0,0
54420,248265,2017,4,3,1698,1698.0,0,0
54421,248593,2017,4,3,7131,7131.0,0,0
54422,248885,2017,4,3,1998,1998.0,0,0
54423,217761,2017,6,3,6228,6228.0,0,0
54424,249381,2017,4,3,7296,7296.0,0,0
54425,249466,2017,4,3,3828,3828.0,0,0
54426,250280,2017,4,3,3099,3099.0,0,0
54427,910142,2018,4,3,5913,5913.0,392,71
54428,147064,2018,4,3,6744,6744.0,392,71
54429,252136,2017,4,3,5172,5172.0,0,0
54430,252341,2017,4,3,3387,3387.0,0,0
54431,253852,2017,4,3,1812,1812.0,0,0
54432,254667,2017,4,3,4926,4926.0,0,0
54433,254860,2017,4,3,2430,2430.0,0,0
54434,255108,2017,4,3,1770,1770.0,0,0
54435,255836,2017,4,3,6849,6849.0,0,0
54436,256013,2017,4,3,6123,6123.0,0,0
54437,256323,2017,4,3,7347,7347.0,0,0
54438,257705,2017,4,3,4155,4155.0,0,0
54439,258088,2017,4,3,4941,4941.0,0,0
54440,258184,2017,4,3,6045,6045.0,0,0
54441,258951,2017,4,3,6123,6123.0,0,0
54442,259878,2017,4,3,2001,2001.0,0,0
54443,217967,2017,2,3,6885,6885.0,0,0
54444,260245,2017,4,3,4725,4725.0,0,0
54445,260452,2017,4,3,3489,3489.0,0,0
54446,418990,2018,4,3,3627,3627.0,454,82
54447,261468,2017,4,3,5049,5049.0,0,0
54448,261582,2017,4,3,4572,4572.0,0,0
54449,261964,2017,4,3,4272,4272.0,0,0
54450,262177,2017,4,3,1758,1758.0,0,0
54451,262336,2017,4,3,3861,3861.0,0,0
54452,262374,2017,4,3,5655,5655.0,0,0
54453,262526,2017,4,3,5865,5865.0,0,0
54454,263127,2017,4,3,5223,5223.0,0,0
54455,264234,2017,4,3,2352,2352.0,0,0
54456,264741,2017,4,3,3738,3738.0,0,0
54457,264936,2017,4,3,5769,5769.0,0,0
54458,265557,2017,4,3,2952,2952.0,0,0
54459,266516,2017,4,3,6420,6420.0,0,0
54460,266968,2017,4,3,6291,6291.0,0,0
54461,267566,2017,4,3,2469,2469.0,0,0
54462,268293,2017,4,3,5709,5709.0,0,0
54463,268630,2017,4,3,6609,6609.0,0,0
54464,268789,2017,4,3,3999,3999.0,0,0
54465,270022,2017,4,3,3402,3402.0,0,0
54466,270901,2017,4,3,6243,6243.0,0,0
54467,271365,2017,4,3,4209,4209.0,0,0
54468,272787,2017,4,3,2118,2118.0,0,0
54469,272944,2017,4,3,5055,5055.0,0,0
54470,273144,2017,4,3,4938,4938.0,0,0
54471,273357,2017,4,3,1764,1764.0,0,0
54472,275446,2017,4,3,4044,4044.0,0,0
54473,276494,2017,4,3,3216,3216.0,0,0
54474,277281,2017,4,3,3573,3573.0,0,0
54475,277494,2017,4,3,4176,4176.0,0,0
54476,278815,2017,4,3,3060,3060.0,0,0
54477,279419,2017,4,3,2196,2196.0,0,0
54478,279580,2017,4,3,3777,3777.0,0,0
54479,280864,2017,4,3,7398,7398.0,0,0
54480,283290,2017,4,3,6123,6123.0,0,0
54481,283358,2017,4,3,3885,3885.0,0,0
54482,283807,2017,4,3,5592,5592.0,0,0
54483,285220,2017,4,3,4443,4443.0,0,0
54484,285776,2017,4,3,7494,7494.0,0,0
54485,286927,2017,4,3,4533,4533.0,0,0
54486,287690,2017,4,3,5865,5865.0,0,0
54487,288369,2017,4,3,5628,5628.0,0,0
54488,289863,2017,4,3,5097,5097.0,0,0
54489,290091,2017,4,3,4593,4593.0,0,0
54490,290465,2017,4,3,4869,4869.0,0,0
54491,292164,2017,4,3,5016,5016.0,0,0
54492,292384,2017,4,3,4899,4899.0,0,0
54493,218127,2017,11,3,4017,4017.0,0,0
54494,294027,2017,4,3,6930,6930.0,0,0
54495,294334,2017,4,3,7482,7482.0,0,0
54496,294634,2017,4,3,5814,5814.0,0,0
54497,294753,2017,4,3,6456,6456.0,0,0
54498,295327,2017,4,3,4299,4299.0,0,0
54499,456432,2017,9,3,5793,5793.0,393,71
54500,295906,2017,4,3,4455,4455.0,0,0
54501,218127,2018,2,3,7008,7008.0,0,0
54502,297621,2017,4,3,3858,3858.0,0,0
54503,297702,2017,4,3,4308,4308.0,0,0
54504,298181,2017,4,3,4281,4281.0,0,0
54505,434922,2018,2,3,4287,4287.0,335,60
54506,299107,2017,4,3,3150,3150.0,0,0
54507,299113,2017,4,3,5619,5619.0,0,0
54508,299830,2017,4,3,6003,6003.0,0,0
54509,300166,2017,4,3,4353,4353.0,0,0
54510,792795,2018,8,3,4944,4944.0,470,85
54511,300806,2017,4,3,6048,6048.0,0,0
54512,300845,2017,4,3,2109,2109.0,0,0
54513,300870,2017,4,3,1836,1836.0,0,0
54514,359816,2018,12,3,7281,7281.0,447,80
54515,301563,2017,4,3,1971,1971.0,0,0
54516,301784,2017,4,3,7383,7383.0,0,0
54517,301793,2017,4,3,6897,6897.0,0,0
54518,302158,2017,4,3,5724,5724.0,0,0
54519,302186,2017,4,3,2529,2529.0,0,0
54520,287088,2018,12,3,4233,4233.0,477,86
54521,303246,2017,4,3,5637,5637.0,0,0
54522,303573,2017,4,3,5490,5490.0,0,0
54523,856502,2017,6,3,5823,5823.0,536,96
54524,598398,2018,6,3,3561,3561.0,536,96
54525,305100,2017,4,3,5088,5088.0,0,0
54526,306051,2017,4,3,7140,7140.0,0,0
54527,600432,2017,3,3,2583,2583.0,448,81
54528,306676,2017,4,3,7344,7344.0,0,0
54529,307049,2017,4,3,1641,1641.0,0,0
54530,307166,2017,4,3,2517,2517.0,0,0
54531,307859,2017,4,3,5229,5229.0,0,0
54532,308214,2017,4,3,6174,6174.0,0,0
54533,308591,2017,4,3,5652,5652.0,0,0
54534,774724,2017,8,3,6609,6609.0,502,90
54535,309230,2017,4,3,3660,3660.0,0,0
54536,309352,2017,4,3,3426,3426.0,0,0
54537,309364,2017,4,3,5130,5130.0,0,0
54538,310396,2017,4,3,7284,7284.0,0,0
54539,312074,2017,4,3,6078,6078.0,0,0
54540,312312,2017,4,3,5208,5208.0,0,0
54541,313185,2017,4,3,7002,7002.0,0,0
54542,313688,2017,4,3,1989,1989.0,0,0
54543,314202,2017,4,3,5649,5649.0,0,0
54544,316527,2017,4,3,1824,1824.0,0,0
54545,317094,2017,4,3,7014,7014.0,0,0
54546,318786,2017,4,3,3462,3462.0,0,0
54547,318902,2017,4,3,7287,7287.0,0,0
54548,320191,2017,4,3,1539,1539.0,0,0
54549,328188,2017,8,3,2604,2604.0,579,104
54550,321457,2017,4,3,6495,6495.0,0,0
54551,323735,2017,4,3,4491,4491.0,0,0
54552,324139,2017,4,3,3111,3111.0,0,0
54553,687262,2018,7,3,5814,5814.0,637,115
54554,325802,2017,4,3,7398,7398.0,0,0
54555,326905,2017,4,3,3084,3084.0,0,0
54556,326961,2017,4,3,5598,5598.0,0,0
54557,327163,2017,4,3,2697,2697.0,0,0
54558,327285,2017,4,3,4917,4917.0,0,0
54559,327320,2017,4,3,2931,2931.0,0,0
54560,327910,2017,4,3,2160,2160.0,0,0
54561,219276,2017,4,3,3003,3003.0,0,0
54562,219276,2017,5,3,7479,7479.0,0,0
54563,331697,2017,4,3,5295,5295.0,0,0
54564,331699,2017,4,3,5778,5778.0,0,0
54565,331706,2017,4,3,1557,1557.0,0,0
54566,332289,2017,4,3,4353,4353.0,0,0
54567,333039,2017,4,3,3447,3447.0,0,0
54568,219276,2017,7,3,3099,3099.0,0,0
54569,333295,2017,4,3,3039,3039.0,0,0
54570,333825,2017,4,3,2292,2292.0,0,0
54571,334143,2017,4,3,2007,2007.0,0,0
54572,219276,2017,9,3,1704,1704.0,0,0
54573,335143,2017,4,3,4107,4107.0,0,0
54574,335365,2017,4,3,5592,5592.0,0,0
54575,336139,2017,4,3,3261,3261.0,0,0
54576,337235,2017,4,3,3081,3081.0,0,0
54577,337260,2017,4,3,5289,5289.0,0,0
54578,337453,2017,4,3,1866,1866.0,0,0
54579,337980,2017,4,3,4353,4353.0,0,0
54580,338059,2017,4,3,3099,3099.0,0,0
54581,338786,2017,4,3,7257,7257.0,0,0
54582,338838,2017,4,3,3402,3402.0,0,0
54583,547016,2018,4,3,5601,5601.0,429,77
54584,392802,2018,2,3,5433,5433.0,386,69
54585,574640,2017,3,3,3147,3147.0,425,77
54586,341549,2017,4,3,6870,6870.0,0,0
54587,341867,2017,4,3,2295,2295.0,0,0
54588,342156,2017,4,3,5907,5907.0,0,0
54589,342583,2017,4,3,6543,6543.0,0,0
54590,342679,2017,4,3,2994,2994.0,0,0
54591,343139,2017,4,3,4155,4155.0,0,0
54592,227796,2018,5,3,5382,5382.0,425,77
54593,678967,2017,11,3,7044,7044.0,361,65
54594,641159,2018,11,3,1737,1737.0,361,65
54595,912128,2017,12,3,3360,3360.0,453,82
54596,344464,2017,4,3,3396,3396.0,0,0
54597,653081,2018,9,3,2358,2358.0,398,72
54598,345841,2017,4,3,1770,1770.0,0,0
54599,346384,2017,4,3,5718,5718.0,0,0
54600,346529,2017,4,3,4299,4299.0,0,0
54601,219276,2018,2,3,6489,6489.0,0,0
54602,346678,2017,4,3,7098,7098.0,0,0
54603,347142,2017,4,3,4995,4995.0,0,0
54604,347932,2017,4,3,6462,6462.0,0,0
54605,348085,2017,4,3,4197,4197.0,0,0
54606,348448,2017,4,3,4260,4260.0,0,0
54607,348681,2017,4,3,5757,5757.0,0,0
54608,349046,2017,4,3,4725,4725.0,0,0
54609,349670,2017,4,3,6012,6012.0,0,0
54610,221254,2017,1,3,5454,5454.0,0,0
54611,221254,2017,4,3,3357,3357.0,0,0
54612,356507,2017,4,3,3906,3906.0,0,0
54613,356712,2017,4,3,4566,4566.0,0,0
54614,357589,2017,4,3,2415,2415.0,0,0
54615,358513,2017,4,3,6951,6951.0,0,0
54616,358792,2017,4,3,6267,6267.0,0,0
54617,317624,2018,8,3,6621,6621.0,558,100
54618,359446,2017,4,3,3909,3909.0,0,0
54619,359466,2017,4,3,7047,7047.0,0,0
54620,360435,2017,4,3,1923,1923.0,0,0
54621,362055,2017,4,3,2775,2775.0,0,0
54622,362165,2017,4,3,6177,6177.0,0,0
54623,363774,2017,4,3,3585,3585.0,0,0
54624,364895,2017,4,3,5007,5007.0,0,0
54625,364908,2017,4,3,2421,2421.0,0,0
54626,365635,2017,4,3,4332,4332.0,0,0
54627,747578,2017,12,3,4896,4896.0,531,96
54628,366537,2017,4,3,4134,4134.0,0,0
54629,368073,2017,4,3,3030,3030.0,0,0
54630,368981,2017,4,3,5022,5022.0,0,0
54631,369000,2017,4,3,5631,5631.0,0,0
54632,369841,2017,4,3,5862,5862.0,0,0
54633,370066,2017,4,3,6609,6609.0,0,0
54634,370300,2017,4,3,5928,5928.0,0,0
54635,370877,2017,4,3,3216,3216.0,0,0
54636,371065,2017,4,3,7089,7089.0,0,0
54637,371606,2017,4,3,1815,1815.0,0,0
54638,371969,2017,4,3,4434,4434.0,0,0
54639,335964,2017,7,3,5634,5634.0,614,111
54640,222702,2017,4,3,2784,2784.0,0,0
54641,373144,2017,4,3,3918,3918.0,0,0
54642,373950,2017,4,3,4818,4818.0,0,0
54643,374117,2017,4,3,4971,4971.0,0,0
54644,374266,2017,4,3,4473,4473.0,0,0
54645,374585,2017,4,3,6366,6366.0,0,0
54646,374721,2017,4,3,4005,4005.0,0,0
54647,374931,2017,4,3,4401,4401.0,0,0
54648,375511,2017,4,3,7353,7353.0,0,0
54649,224952,2018,1,3,6459,6459.0,305,55
54650,375722,2017,4,3,7053,7053.0,0,0
54651,375757,2017,4,3,6393,6393.0,0,0
54652,375814,2017,4,3,6546,6546.0,0,0
54653,375987,2017,4,3,2244,2244.0,0,0
54654,376572,2017,4,3,5124,5124.0,0,0
54655,376862,2017,4,3,5907,5907.0,0,0
54656,377288,2017,4,3,4695,4695.0,0,0
54657,377289,2017,4,3,1704,1704.0,0,0
54658,790450,2018,2,3,5820,5820.0,297,53
54659,392235,2017,4,3,2028,2028.0,425,77
54660,564909,2018,12,3,6156,6156.0,516,93
54661,379238,2017,4,3,4428,4428.0,0,0
54662,675535,2018,5,3,6363,6363.0,484,87
54663,379562,2017,4,3,2328,2328.0,0,0
54664,379572,2017,4,3,6564,6564.0,0,0
54665,379716,2017,4,3,6225,6225.0,0,0
54666,379752,2017,4,3,2148,2148.0,0,0
54667,380001,2017,4,3,2529,2529.0,0,0
54668,994993,2017,11,3,5871,5871.0,409,74
54669,750665,2018,10,3,6996,6996.0,430,77
54670,381307,2017,4,3,3096,3096.0,0,0
54671,381395,2017,4,3,3975,3975.0,0,0
54672,381496,2017,4,3,3900,3900.0,0,0
54673,381901,2017,4,3,6819,6819.0,0,0
54674,382252,2017,4,3,4941,4941.0,0,0
54675,383912,2017,4,3,6948,6948.0,0,0
54676,153193,2017,9,3,6240,6240.0,452,81
54677,384328,2017,4,3,7068,7068.0,0,0
54678,385358,2017,4,3,7296,7296.0,0,0
54679,386926,2017,4,3,4050,4050.0,0,0
54680,387121,2017,4,3,4944,4944.0,0,0
54681,388777,2017,4,3,3867,3867.0,0,0
54682,389225,2017,4,3,5958,5958.0,0,0
54683,390117,2017,4,3,4908,4908.0,0,0
54684,390974,2017,4,3,7113,7113.0,0,0
54685,391106,2017,4,3,2592,2592.0,0,0
54686,391761,2017,4,3,5592,5592.0,0,0
54687,391861,2017,4,3,2271,2271.0,0,0
54688,392575,2017,4,3,2898,2898.0,0,0
54689,392802,2017,4,3,5964,5964.0,0,0
54690,394715,2017,4,3,4488,4488.0,0,0
54691,394806,2017,4,3,3063,3063.0,0,0
54692,395639,2017,4,3,1899,1899.0,0,0
54693,395887,2017,4,3,2835,2835.0,0,0
54694,396471,2017,4,3,5016,5016.0,0,0
54695,397053,2017,4,3,1518,1518.0,0,0
54696,397248,2017,4,3,3165,3165.0,0,0
54697,397947,2017,4,3,3252,3252.0,0,0
54698,226387,2018,2,3,6450,6450.0,0,0
54699,398586,2017,4,3,7455,7455.0,0,0
54700,398611,2017,4,3,4350,4350.0,0,0
54701,398839,2017,4,3,4554,4554.0,0,0
54702,399397,2017,4,3,3951,3951.0,0,0
54703,399678,2017,4,3,2760,2760.0,0,0
54704,399982,2017,4,3,4863,4863.0,0,0
54705,400181,2017,4,3,5019,5019.0,0,0
54706,400702,2017,4,3,5190,5190.0,0,0
54707,401766,2017,4,3,1671,1671.0,0,0
54708,402918,2017,4,3,3900,3900.0,0,0
54709,402964,2017,4,3,6510,6510.0,0,0
54710,212477,2018,7,3,6354,6354.0,445,80
54711,404314,2017,4,3,1845,1845.0,0,0
54712,405418,2017,4,3,3819,3819.0,0,0
54713,227303,2018,9,3,5280,5280.0,355,64
54714,406176,2017,4,3,2106,2106.0,0,0
54715,407119,2017,4,3,6558,6558.0,0,0
54716,397480,2017,9,3,5217,5217.0,429,77
54717,598016,2018,9,3,3099,3099.0,429,77
54718,734307,2017,12,3,5307,5307.0,490,88
54719,409741,2017,4,3,4680,4680.0,0,0
54720,409908,2017,4,3,6063,6063.0,0,0
54721,410218,2017,4,3,4323,4323.0,0,0
54722,410384,2017,4,3,4221,4221.0,0,0
54723,410552,2017,4,3,3027,3027.0,0,0
54724,411094,2017,4,3,3231,3231.0,0,0
54725,411734,2017,4,3,5661,5661.0,0,0
54726,411897,2017,4,3,3042,3042.0,0,0
54727,412402,2017,4,3,3855,3855.0,0,0
54728,413243,2017,4,3,6039,6039.0,0,0
54729,413815,2017,4,3,3801,3801.0,0,0
54730,414207,2017,4,3,2772,2772.0,0,0
54731,414727,2017,4,3,7356,7356.0,0,0
54732,416124,2017,4,3,4020,4020.0,0,0
54733,417118,2017,4,3,2607,2607.0,0,0
54734,417825,2017,4,3,3396,3396.0,0,0
54735,418958,2017,4,3,4797,4797.0,0,0
54736,227303,2018,8,3,2166,2166.0,789,142
54737,419493,2017,4,3,5022,5022.0,0,0
54738,419540,2017,4,3,5088,5088.0,0,0
54739,419749,2017,4,3,1524,1524.0,0,0
54740,420508,2017,4,3,4338,4338.0,0,0
54741,261832,2017,6,3,3174,3174.0,618,111
54742,422358,2017,4,3,4884,4884.0,0,0
54743,422398,2017,4,3,4824,4824.0,0,0
54744,423201,2017,4,3,2730,2730.0,0,0
54745,423432,2017,4,3,1914,1914.0,0,0
54746,424403,2017,4,3,2403,2403.0,0,0
54747,424812,2017,4,3,2172,2172.0,0,0
54748,424917,2017,4,3,6981,6981.0,0,0
54749,424983,2017,4,3,3078,3078.0,0,0
54750,425294,2017,4,3,1797,1797.0,0,0
54751,425445,2017,4,3,5322,5322.0,0,0
54752,962011,2018,7,3,7083,7083.0,635,114
54753,426384,2017,4,3,7167,7167.0,0,0
54754,426698,2017,4,3,7155,7155.0,0,0
54755,426981,2017,4,3,3969,3969.0,0,0
54756,427140,2017,4,3,3201,3201.0,0,0
54757,427177,2017,4,3,7179,7179.0,0,0
54758,428922,2017,4,3,4428,4428.0,0,0
54759,429238,2017,4,3,6597,6597.0,0,0
54760,429933,2017,4,3,3165,3165.0,0,0
54761,430059,2017,4,3,2019,2019.0,0,0
54762,430097,2017,4,3,6519,6519.0,0,0
54763,252679,2018,7,3,3054,3054.0,617,111
54764,876083,2018,11,3,3045,3045.0,397,71
54765,431021,2017,4,3,2220,2220.0,0,0
54766,283929,2017,4,3,4827,4827.0,413,74
54767,432031,2017,4,3,7029,7029.0,0,0
54768,432200,2017,4,3,2379,2379.0,0,0
54769,432370,2017,4,3,4101,4101.0,0,0
54770,433510,2017,4,3,2157,2157.0,0,0
54771,465095,2018,10,3,4488,4488.0,418,75
54772,434113,2017,4,3,3150,3150.0,0,0
54773,434922,2017,4,3,3324,3324.0,0,0
54774,435613,2017,4,3,4062,4062.0,0,0
54775,436874,2017,4,3,6057,6057.0,0,0
54776,436901,2017,4,3,1677,1677.0,0,0
54777,437074,2017,4,3,6069,6069.0,0,0
54778,437598,2017,4,3,3780,3780.0,0,0
54779,438526,2017,4,3,7056,7056.0,0,0
54780,650529,2018,3,3,3432,3432.0,484,87
54781,439361,2017,4,3,2994,2994.0,0,0
54782,439900,2017,4,3,6399,6399.0,0,0
54783,440320,2017,4,3,6504,6504.0,0,0
54784,440939,2017,4,3,6138,6138.0,0,0
54785,441304,2017,4,3,5463,5463.0,0,0
54786,441423,2017,4,3,6900,6900.0,0,0
54787,441439,2017,4,3,3882,3882.0,0,0
54788,441741,2017,4,3,6621,6621.0,0,0
54789,442479,2017,4,3,3009,3009.0,0,0
54790,565805,2018,12,3,3975,3975.0,594,107
54791,444786,2017,4,3,6558,6558.0,0,0
54792,444894,2017,4,3,5850,5850.0,0,0
54793,445338,2017,4,3,6402,6402.0,0,0
54794,445370,2017,4,3,3039,3039.0,0,0
54795,445451,2017,4,3,3210,3210.0,0,0
54796,445632,2017,4,3,7050,7050.0,0,0
54797,445675,2017,4,3,5685,5685.0,0,0
54798,233969,2017,8,3,2766,2766.0,625,113
54799,446171,2017,4,3,5163,5163.0,0,0
54800,591174,2018,8,3,1827,1827.0,625,113
54801,447275,2017,4,3,2214,2214.0,0,0
54802,447544,2017,4,3,6834,6834.0,0,0
54803,447925,2017,4,3,3708,3708.0,0,0
54804,448774,2017,4,3,3681,3681.0,0,0
54805,586100,2017,3,3,4131,4131.0,384,69
54806,519203,2017,5,3,7350,7350.0,384,69
54807,451425,2017,4,3,6795,6795.0,0,0
54808,451819,2017,4,3,4353,4353.0,0,0
54809,779882,2017,6,3,3618,3618.0,457,82
54810,453136,2017,4,3,5466,5466.0,0,0
54811,488872,2018,6,3,4728,4728.0,457,82
54812,454630,2017,4,3,6756,6756.0,0,0
54813,455023,2017,4,3,6969,6969.0,0,0
54814,455474,2017,4,3,3993,3993.0,0,0
54815,455937,2017,4,3,2124,2124.0,0,0
54816,456887,2017,4,3,6969,6969.0,0,0
54817,457535,2017,4,3,5796,5796.0,0,0
54818,643225,2017,12,3,4539,4539.0,408,73
54819,458697,2017,4,3,3921,3921.0,0,0
54820,444684,2018,12,3,1794,1794.0,408,73
54821,459563,2017,4,3,2547,2547.0,0,0
54822,459737,2017,4,3,7137,7137.0,0,0
54823,459801,2017,4,3,4476,4476.0,0,0
54824,460025,2017,4,3,5316,5316.0,0,0
54825,229692,2018,7,3,3021,3021.0,0,0
54826,357173,2017,8,3,6603,6603.0,429,77
54827,460929,2017,4,3,2517,2517.0,0,0
54828,462495,2017,4,3,4260,4260.0,0,0
54829,462803,2017,4,3,1653,1653.0,0,0
54830,462974,2017,4,3,3216,3216.0,0,0
54831,463833,2017,4,3,7260,7260.0,0,0
54832,463971,2017,4,3,2496,2496.0,0,0
54833,464044,2017,4,3,5835,5835.0,0,0
54834,464187,2017,4,3,4317,4317.0,0,0
54835,464187,2017,4,3,4623,4623.0,0,0
54836,464720,2017,4,3,2592,2592.0,0,0
54837,465260,2017,4,3,5763,5763.0,0,0
54838,465692,2017,4,3,7419,7419.0,0,0
54839,783300,2017,8,3,3327,3327.0,525,95
54840,750130,2018,8,3,2418,2418.0,525,95
54841,465990,2017,4,3,3792,3792.0,0,0
54842,994940,2018,6,3,1866,1866.0,561,101
54843,467382,2017,4,3,5793,5793.0,0,0
54844,467945,2017,4,3,2439,2439.0,0,0
54845,468192,2017,4,3,2673,2673.0,0,0
54846,402034,2018,12,3,2799,2799.0,499,90
54847,469684,2017,4,3,5478,5478.0,0,0
54848,470373,2017,4,3,3936,3936.0,0,0
54849,471583,2017,4,3,2190,2190.0,0,0
54850,472356,2017,4,3,6630,6630.0,0,0
54851,473204,2017,4,3,6801,6801.0,0,0
54852,475132,2017,4,3,5307,5307.0,0,0
54853,475974,2017,4,3,7383,7383.0,0,0
54854,299419,2017,5,3,2409,2409.0,510,92
54855,477993,2017,4,3,2880,2880.0,0,0
54856,478142,2017,4,3,5046,5046.0,0,0
54857,426720,2018,5,3,4158,4158.0,510,92
54858,478315,2017,4,3,2880,2880.0,0,0
54859,286114,2018,8,3,4773,4773.0,572,103
54860,817168,2017,3,3,3894,3894.0,379,68
54861,478890,2017,4,3,3588,3588.0,0,0
54862,111788,2017,5,3,6312,6312.0,379,68
54863,480200,2017,4,3,3513,3513.0,0,0
54864,481293,2017,4,3,7419,7419.0,0,0
54865,484243,2017,4,3,6813,6813.0,0,0
54866,484495,2017,4,3,4179,4179.0,0,0
54867,717026,2018,11,3,2850,2850.0,323,58
